710:0.6757477 -1.1878173 1.7755084 0.97384727 -0.19592057 0.62355375 0.9136377 -0.74289465 0.720735 0.11814781
205:0.4117079 -0.8952765 -0.028457345 0.6559625 -0.13880125 0.2447283 0.24965113 0.32807958 0.17911561 -0.27227348
45:0.35626587 -0.2677167 -0.5219227 0.48875442 -0.52838784 -0.0052915895 -0.17188574 0.31376606 0.18309404 -0.5885293
515:0.078438304 -0.0978355 -0.5348444 0.31158587 -0.28436866 0.10406595 -0.20096014 0.95584387 0.44446558 -0.5438636
574:0.7516258 -0.54028094 -0.45560083 0.62706256 -0.39023963 0.443309 0.1725969 0.018364916 0.23743285 -0.3295188
858:0.3017113 0.5233151 0.06816263 -0.088594936 0.25874114 -0.0386483 0.4524405 -0.09756559 0.43671954 0.1929777
619:0.4054952 -0.8695455 1.0890635 0.81723017 -0.09993582 0.39353034 0.46565545 -0.41591653 0.5590411 0.05752074
507:0.13326076 -0.5771721 -0.28855738 -0.31976503 -0.33959746 0.046786927 -0.09207892 -0.14409661 0.17264642 -0.29605398
113:0.42547014 -1.0846243 1.1855154 0.5487622 0.38092765 0.6450884 0.46150914 -0.07438055 0.7377385 -0.16709693
34:0.45685622 -0.17118895 -0.23894909 0.0986183 0.33079913 0.15218893 0.4375147 0.3349051 -0.50671464 0.16017096
563:0.28627667 -0.61268437 -0.12363506 0.2675081 -0.46744668 0.52624905 0.16126241 0.33672747 0.58700037 0.104822315
381:-0.11643248 -0.60877895 0.14818153 0.28367424 -0.6195329 -0.40878683 -0.36057496 0.63600785 0.0694468 -0.6143061
455:0.5035843 -0.3303742 0.9878436 0.2735959 -0.88024175 -0.48284414 -0.43836418 0.28750286 -0.026392283 -0.10442696
67:0.18184485 -1.0624422 1.0243201 1.252863 -0.33652437 1.6035805 0.7118122 0.09027192 1.0769966 0.66499287
388:0.089028075 -0.35740012 -0.3656897 0.14435 0.05503217 0.38921693 0.3799847 0.7268709 0.6605448 -0.19007131
974:0.5096285 -0.6016905 0.12889387 -0.3233756 0.252651 0.64551616 -0.24123886 0.52363515 0.73111844 0.27401808
310:0.6225734 -0.81063366 1.5585703 0.58185554 -1.1480277 0.48580977 0.28267974 0.039170295 -0.1665679 0.6561457
169:0.38316897 -0.47502133 1.1402316 0.34469765 -1.0470978 -0.60525244 -0.44993246 0.12626573 -0.18306325 -0.2213002
444:0.34854367 -0.7419681 -0.21932583 0.43550706 -0.8069646 -0.06536927 0.030393204 -0.03247876 0.44868842 -0.004244563
120:0.78584313 -0.7711022 1.2864522 0.4023814 -0.25048536 0.15229295 0.56792355 0.12093721 0.10392206 0.056724533
193:0.17421001 -0.031937785 0.013823573 -0.059038106 -0.7887283 0.0010932366 -0.17973618 0.067683056 0.0073870867 -0.68754125
713:0.3662891 -1.4412025 1.1164628 0.8245166 -0.43820512 1.6290303 0.3534352 0.15538964 0.9653416 0.19070126
302:0.053496614 -0.5659934 -0.25529656 0.3893845 -0.27810138 0.28046042 0.113566026 0.7353861 0.66155285 0.04568776
153:0.675348 -0.6827194 0.21118696 -0.78795826 0.09839937 -1.0531309 -0.079868324 -0.31415373 -0.4546915 0.1867542
844:0.20266384 -0.9061534 0.44312435 0.897494 -0.4014445 1.5717627 0.6182467 0.6023047 1.2781744 0.35224527
335:0.42260104 -0.88228685 -0.40038088 0.14783984 -0.23029672 0.49244604 0.19213355 0.04540423 0.70127 -0.24424101
885:0.48344082 -0.463651 1.2080151 0.4071145 -0.15839848 0.75307596 0.22399706 0.4463376 0.34734222 0.37855765
735:0.5863893 -0.20740181 -0.16027136 0.33288553 -0.6175416 0.47484982 0.5149116 -0.60918576 0.6303149 0.077887535
